10000;24-HOUR MAN/EMMANUEL;24-HOUR MAN;EMMANUEL;;NULL
10001;3-D MAN/CHARLES CHAN;3-D MAN;CHARLES CHAN;;3-D MAN
10002;4-D MAN/MERCURIO;4-D MAN;MERCURIO;;NULL
10003;8-BALL/;8-BALL;;;NULL
10004;A;NULL;A;;NULL
10005;A'YIN;NULL;A'YIN;;NULL
10006;ABBOTT,JACK;NULL;JACK ABBOTT;;NULL
10007;ABCISSA;NULL;ABCISSA;;NULL
10008;ABEL;NULL;ABEL;;NULL
10009;ABOMINATION | MUTANT;ABOMINATION | MUTANT;NULL;;NULL
10010;ABOMINATION/EMIL BLO;ABOMINATION;EMIL BLO;;Abomination (Emil Blonsky)
10011;ABOMINATRIX;NULL;ABOMINATRIX;;NULL
10012;ABRAXAS;NULL;ABRAXAS;;NULL
10013;ABSALOM;NULL;ABSALOM;;NULL
10014;ABSORBING MAN | MUTA;ABSORBING MAN | MUTA;NULL;;NULL
10015;ABSORBING MAN/CARL C;ABSORBING MAN;CARL C;;ABSORBING MAN
10016;ACBA;NULL;ACBA;;NULL
10017;ACHEBE,REVEREND DOC;NULL;REVEREND DOC ACHEBE;;NULL
10018;ACHILLES;NULL;ACHILLES;;NULL
10019;ACHILLES II/HELMUT;ACHILLES II;HELMUT;;NULL
10020;ACROBAT/CARL ZANTE;ACROBAT;CARL ZANTE;;NULL
10021;ADAM 3,031;ACROBAT;031 ADAM 3;;NULL
10022;ADAM X;NULL;ADAM X;;NULL
10023;ADAMS,CINDY;NULL;CINDY ADAMS;;NULL
10024;ADAMS,CONGRESSMAN H;NULL;CONGRESSMAN H ADAMS;;NULL
10025;ADAMS,GEORGE;NULL;GEORGE ADAMS;;NULL
10026;ADAMS,MARTHA;NULL;MARTHA ADAMS;;NULL
10027;ADAMS,NICOLE NIKKI;NULL;NICOLE NIKKI ADAMS;;NULL
10028;ADAMSON,JASON;NULL;JASON ADAMSON;;NULL
10029;ADAMSON,REBECCA;NULL;REBECCA ADAMSON;;NULL
10030;ADMIRAL PROTOCOL/;ADMIRAL PROTOCOL;;;NULL
10031;ADORA;NULL;ADORA;;NULL
10032;ADORA CLONE;NULL;ADORA CLONE;;NULL
10033;ADRIA;NULL;ADRIA;;NULL
10034;ADVA;NULL;ADVA;;NULL
10035;ADVENT/KYLE GROBE;ADVENT;KYLE GROBE;;NULL
10036;ADVERSARY;NULL;ADVERSARY;;NULL
10037;AEGIS/TREY ROLLINS;AEGIS;TREY ROLLINS;;Aegis (Trey Rollins)
10038;AENTAROS;NULL;AENTAROS;;NULL
10039;AFTERLIFE;NULL;AFTERLIFE;;NULL
10040;AGAMEMNON;NULL;AGAMEMNON;;NULL
10041;AGAMEMNON II/ANDREI ;AGAMEMNON II;ANDREI ;;NULL
10042;AGAMEMNON III/;AGAMEMNON III;;;NULL
10043;AGAMOTTO;NULL;AGAMOTTO;;NULL
10044;AGARN,CAPT.;NULL;CAPT. AGARN;;NULL
10045;AGED GENGHIS;NULL;AGED GENGHIS;;NULL
10046;AGEE,DR. AUBREY;NULL;DR. AUBREY AGEE;;NULL
10047;AGEE,REBECCA;NULL;REBECCA AGEE;;NULL
10048;AGENT 18/JACK TRUMAN;AGENT 18;JACK TRUMAN;;NULL
10049;AGENT AXIS/;AGENT AXIS;;;NULL
10050;AGENT-X/;AGENT-X;;;Agent X (Nijo)
10051;AGGAMON;NULL;AGGAMON;;NULL
10052;AGINAR;NULL;AGINAR;;AGINAR
10053;AGON;NULL;AGON;;NULL
10054;AGONY/;AGONY;;;NULL
10055;AGUIRRE,ISOBEL;AGONY;ISOBEL AGUIRRE;;NULL
10056;AHAB/RORY CAMPBELL;AHAB;RORY CAMPBELL;;NULL
10057;AHQLAU;NULL;AHQLAU;;NULL
10058;AHURA;NULL;AHURA;;NULL
10059;AI-CHIA;NULL;AI-CHIA;;NULL
10060;AINET;NULL;AINET;;NULL
10061;AIR WALKER/ARLO SAMU;AIR WALKER;ARLO SAMU;;NULL
10062;AIR-WALKER/GABRIEL L;AIR-WALKER;GABRIEL L;;Air-Walker (Gabriel Lan)
10063;AIRBORNE/;AIRBORNE;;;NULL
10064;AIREO/AEOLUS [INHUMA;AIREO;AEOLUS [INHUMA;;NULL
10065;AJAK/TECUMOTZIN [ETE;AJAK;TECUMOTZIN [ETE;;AJAK
10066;AJAX;NULL;AJAX;;AJAK
10067;AJAX II;NULL;AJAX II;;NULL
10068;AJES'HA;NULL;AJES'HA;;NULL
10069;AKAFE;NULL;AKAFE;;NULL
10070;AKULIA;NULL;AKULIA;;NULL
10071;AKUTAGAWA,OSAMU;NULL;OSAMU AKUTAGAWA;;NULL
10072;AL-KHALAD;NULL;AL-KHALAD;;NULL
10073;ALANYA;NULL;ALANYA;;NULL
10074;ALBERIK;NULL;ALBERIK;;NULL
10075;ALBERT;NULL;ALBERT;;Albert Cleary
10076;ALBINO/DR. AUGUSTA S;ALBINO;DR. AUGUSTA S;;NULL
10077;ALBUQUERQUE,JEREMIA;ALBINO;JEREMIA ALBUQUERQUE;;NULL
10078;ALCHEMY/THOMAS JONES;ALCHEMY;THOMAS JONES;;NULL
10079;ALDEN,PROF. MEREDIT;ALCHEMY;PROF. MEREDIT ALDEN;;NULL
10080;ALEGRIA,RICHIE;ALCHEMY;RICHIE ALEGRIA;;NULL
10081;ALEXANDER,CALEB;ALCHEMY;CALEB ALEXANDER;;NULL
10082;ALEXANDER,CARRIE;ALCHEMY;CARRIE ALEXANDER;;NULL
10083;ALFY;NULL;ALFY;;NULL
10084;ALIOTH;NULL;ALIOTH;;NULL
10085;ALIST;NULL;ALIST;;NULL
10086;ALISTRO;NULL;ALISTRO;;NULL
10087;ALLEN,TERRY;NULL;TERRY ALLEN;;NULL
10088;ALOUETTE,GENARD;NULL;GENARD ALOUETTE;;NULL
10089;ALPHA;NULL;ALPHA;;NULL
10090;ALRAUNE,MARLENE;NULL;MARLENE ALRAUNE;;NULL
10091;ALVAREZ,CARLY;NULL;CARLY ALVAREZ;;NULL
10092;ALVAREZ,FELIX;NULL;FELIX ALVAREZ;;NULL
10093;ALVAREZ,PAUL;NULL;PAUL ALVAREZ;;NULL
10094;AMAZO-MAXI-WOMAN/;AMAZO-MAXI-WOMAN;;;NULL
10095;AMAZON;NULL;AMAZON;;NULL
10096;AMENHOTEP;NULL;AMENHOTEP;;NULL
10097;AMERICAN EAGLE II/JA;AMERICAN EAGLE II;JA;;American Eagle (Jason Strongbow)
10098;AMERICAN EAGLE III/J;AMERICAN EAGLE III;J;;NULL
10099;AMERICAN SAMURAI/;AMERICAN SAMURAI;;;NULL
10100;AMERICOP/;AMERICOP;;;NULL
10101;AMIKO;NULL;AMIKO;;AMIKO
10102;AMINEDI;NULL;AMINEDI;;NULL
10103;AMPERE/;AMPERE;;;NULL
10104;AMPHARON;NULL;AMPHARON;;NULL
10105;AMPHIBIAN/KINGLEY RI;AMPHIBIAN;KINGLEY RI;;Amphibian (Earth-712)
10106;AMPHIBIUS;NULL;AMPHIBIUS;;NULL
10107;ANACONDA/BLANCHE SIT;ANACONDA;BLANCHE SIT;;NULL
10108;ANAIS;NULL;ANAIS;;NULL
10109;ANAK;NULL;ANAK;;NULL
10110;ANALYZER;NULL;ANALYZER;;NULL
10111;ANAMI,HIROSHI;NULL;HIROSHI ANAMI;;NULL
10112;ANANASTASIA/ANNA;ANANASTASIA;ANNA;;NULL
10113;ANARCHIST/TIKE ALICA;ANARCHIST;TIKE ALICA;;NULL
10114;ANCESTOR/;ANCESTOR;;;NULL
10115;ANCIENT ONE;ANCIENT ONE;NULL;;ANCIENT ONE
10116;ANCIENT ONE/BARON MO;ANCIENT ONE;BARON MO;;ANCIENT ONE
10117;ANDERS,JOSHUA RICHI;ANCIENT ONE;JOSHUA RICHI ANDERS;;ANCIENT ONE
10118;ANDERSON,BAXTER;ANCIENT ONE;BAXTER ANDERSON;;ANCIENT ONE
10119;ANDERSON,CHARLES;ANCIENT ONE;CHARLES ANDERSON;;ANCIENT ONE
10120;ANDERSON,CHET;ANCIENT ONE;CHET ANDERSON;;ANCIENT ONE
10121;ANDERSON,CHIEF MAGI;ANCIENT ONE;CHIEF MAGI ANDERSON;;ANCIENT ONE
10122;ANDERSON,GINA;ANCIENT ONE;GINA ANDERSON;;ANCIENT ONE
10123;ANDERSON,MARJORIE;ANCIENT ONE;MARJORIE ANDERSON;;ANCIENT ONE
10124;ANDERSON,NICKY;ANCIENT ONE;NICKY ANDERSON;;ANCIENT ONE
10125;ANDERSSEN,TANYA;ANCIENT ONE;TANYA ANDERSSEN;;ANCIENT ONE
10126;ANDREWS,DARYL TROOP;ANCIENT ONE;DARYL TROOP ANDREWS;;ANCIENT ONE
10127;ANDROMEDA/ANDROMEDA ;ANDROMEDA;ANDROMEDA ;;NULL
10128;ANDROS;NULL;ANDROS;;NULL
10129;ANDWELLA;NULL;ANDWELLA;;NULL
10130;ANELLE;NULL;ANELLE;;NULL
10131;ANGAR THE SCREAMER/D;ANGAR THE SCREAMER;D;;NULL
10132;ANGEL 2013;ANGEL 2013;NULL;;NULL
10133;ANGEL DOPPELGANGER;ANGEL DOPPELGANGER;NULL;;NULL
10134;ANGEL II/THOMAS HALL;ANGEL II;THOMAS HALL;;Angel (Thomas Halloway)
10135;ANGEL III/HALLOWAY;ANGEL III;HALLOWAY;;NULL
10136;ANGEL IV;ANGEL IV;NULL;;NULL
10137;ANGEL/WARREN KENNETH;ANGEL;WARREN KENNETH;;NULL
10138;ANGELOPOULOS,ANGEL ;ANGEL;ANGEL  ANGELOPOULOS;;NULL
10139;ANGKOR;NULL;ANGKOR;;NULL
10140;ANGLER;NULL;ANGLER;;NULL
10141;ANGSTROM,EARL;NULL;EARL ANGSTROM;;NULL
10142;ANIELLE;NULL;ANIELLE;;NULL
10143;ANIMATOR II/;ANIMATOR II;;;NULL
10144;ANIMATOR/DR. FREDRIC;ANIMATOR;DR. FREDRIC;;NULL
