"2001 10";2001;10
"2001 8";2001;8
"2001 9";2001;9
"A '00";"A '00";NULL
"A '01";"A '01";NULL
"A '98";"A '98";NULL
"A '99";"A '99";NULL
"A 1";A;1
"A 1.5";A;1.5
"A 10";A;10
"A 100";A;100
"A 101";A;101
"A 102";A;102
"A 103";A;103
"A 104";A;104
"A 105";A;105
"A 106";A;106
"A 107";A;107
"A 108";A;108
"A 109";A;109
"A 11";A;11
"A 110";A;110
"A 111";A;111
"A 112";A;112
"A 113";A;113
"A 114";A;114
"A 115";A;115
"A 116";A;116
"A 117";A;117
"A 118";A;118
"A 119";A;119
"A 12";A;12
"A 120";A;120
"A 121";A;121
"A 122";A;122
"A 123";A;123
"A 124";A;124
"A 125";A;125
"A 126";A;126
"A 127";A;127
"A 128";A;128
"A 129";A;129
"A 13";A;13
"A 130";A;130
"A 131";A;131
"A 132";A;132
"A 133";A;133
"A 134";A;134
"A 135";A;135
"A 137";A;137
"A 138";A;138
"A 139";A;139
"A 14";A;14
"A 140";A;140
"A 141";A;141
"A 142";A;142
"A 143";A;143
"A 144";A;144
"A 145";A;145
"A 146";A;146
"A 147";A;147
"A 148";A;148
"A 149";A;149
"A 15";A;15
"A 150";A;150
"A 151";A;151
"A 152";A;152
"A 153";A;153
"A 154";A;154
"A 155";A;155
"A 156";A;156
"A 157";A;157
"A 158";A;158
"A 159";A;159
"A 16";A;16
"A 160";A;160
"A 161";A;161
"A 162";A;162
"A 163";A;163
"A 164";A;164
"A 165";A;165
"A 166";A;166
"A 167";A;167
"A 168";A;168
"A 169";A;169
"A 17";A;17
"A 170";A;170
"A 171";A;171
"A 172";A;172
"A 173";A;173
"A 174";A;174
"A 175";A;175
"A 176";A;176
"A 177";A;177
"A 178";A;178
"A 179";A;179
"A 18";A;18
"A 180";A;180
"A 181";A;181
"A 182";A;182
"A 183";A;183
"A 184";A;184
"A 185";A;185
"A 186";A;186
"A 187";A;187
"A 188";A;188
"A 189";A;189
"A 19";A;19
"A 190";A;190
"A 191";A;191
"A 192";A;192
"A 193";A;193
"A 194";A;194
"A 195";A;195
"A 196";A;196
"A 197";A;197
"A 198";A;198
"A 199";A;199
"A 2";A;2
"A 20";A;20
"A 200";A;200
"A 201";A;201
"A 201/2";A;201/2
"A 202";A;202
"A 203";A;203
"A 204";A;204
"A 205";A;205
"A 206";A;206
"A 207";A;207
"A 208";A;208
"A 209";A;209
"A 21";A;21
"A 210";A;210
"A 211";A;211
"A 212";A;212
"A 213";A;213
"A 214";A;214
"A 215";A;215
"A 216";A;216
"A 217";A;217
"A 218";A;218
"A 219";A;219
"A 22";A;22
"A 220";A;220
"A 221";A;221
"A 222";A;222
"A 223";A;223
"A 224";A;224
"A 225";A;225
"A 226";A;226
"A 227";A;227
"A 228";A;228
"A 229";A;229
"A 23";A;23
"A 230";A;230
"A 231";A;231
"A 232";A;232
"A 233";A;233
"A 234";A;234
"A 235";A;235
"A 236";A;236
"A 237";A;237
"A 238";A;238
"A 239";A;239
"A 24";A;24
"A 240";A;240
"A 241";A;241
"A 242";A;242
"A 243";A;243
"A 244";A;244
"A 245";A;245
"A 246";A;246
"A 247";A;247
"A 248";A;248
"A 249";A;249
"A 25";A;25
"A 250";A;250
"A 251";A;251
"A 252";A;252
"A 253";A;253
"A 254";A;254
"A 255";A;255
"A 256";A;256
"A 257";A;257
"A 258";A;258
"A 259";A;259
"A 26";A;26
"A 260";A;260
"A 261";A;261
"A 262";A;262
"A 263";A;263
"A 264";A;264
"A 265";A;265
"A 266";A;266
"A 267";A;267
"A 268";A;268
"A 269";A;269
"A 27";A;27
"A 270";A;270
"A 271";A;271
"A 272";A;272
"A 273";A;273
"A 274";A;274
"A 275";A;275
"A 276";A;276
"A 277";A;277
"A 278";A;278
"A 279";A;279
"A 28";A;28
"A 280";A;280
"A 281";A;281
"A 282";A;282
"A 283";A;283
"A 284";A;284
"A 285";A;285
"A 286";A;286
"A 287";A;287
"A 288";A;288
"A 289";A;289
"A 29";A;29
"A 290";A;290
"A 291";A;291
"A 292";A;292
"A 293";A;293
"A 294";A;294
"A 295";A;295
"A 296";A;296
"A 297";A;297
"A 298";A;298
"A 299";A;299
"A 3";A;3
"A 30";A;30
"A 300";A;300
"A 300/2";A;300/2
"A 301";A;301
