4EX;4 (EARTH X)
1602;MARVEL 1602
1602:FF;MARVEL 1602: FANTASTICK FOUR
1602:NW;MARVEL 1602: NEW WORLD
1602:SM;SPIDER-MAN 1602
1985;1985
2001;2001: A SPACE ODYSSEY
2099:MD;2099: MANIFEST DESTINY
2099:WOT;2099: WORLD OF TOMORROW
2099AD;2099 A.D.
2099AD:A;2099 A.D. APOCALYPSE
2099AD:G;2099 A.D. GENESIS
2099U;2099 UNLIMITED
A;AVENGERS
A2;AVENGERS VOL. 2
A3;AVENGERS VOL. 3
A4;AVENGERS VOL. 4
A5;AVENGERS VOL. 5
A1959;AVENGERS 1959
A/INV;AVENGERS/INVADERS
A/SQS;AVENGERS/SQUADRON SUPREME
A/TB;AVENGERS/THUNDERBOLTS
A/ULTRAF;AVENGERS/ULTRAFORCE
A:C;AVENGERS: CROSSING
A:CC;AVENGERS: CHILDREN'S CRUSADE
A:CC-YA;AVENGERS: CHILDREN'S CRUSADE - YOUNG AVENGERS
A:CE;AVENGERS: COLLECTORS EDITION
A:CQ;AVENGERS: CELESTIAL QUEST
A:DV;AVENGERS: DEATHTRAP, THE VAULT
A:EMH;AVENGERS: EARTH'S MIGHTIEST HEROES
A:EMH2;AVENGERS: EARTH'S MIGHTIEST HEROES VOL. 2
A:FINALE;AVENGERS: FINALE
A:I;AVENGERS: INITIATIVE
A:I SPEC;AVENGERS: INITIATIVE SPECIAL
A:IFRPTL;AVENGERS: INITIATIVE FEATURING REPTIL
A:KS;AVENGERS: KORVAC SAGA TPB
A:O;AVENGERS: ORIGIN
A:T;AVENGERS: TIMESLIDE
A:TO;AVENGERS: TERMINATRIX OBJECTIVE
A:UI;AVENGERS: ULTRON IMPERATIVE
A:XS;AVENGERS: X-SANCTION
A-NXT;A-NEXT
AA;AMAZING ADVENTURES
AA2;AMAZING ADVENTURES VOL. 2
AACAD;AVENGERS ACADEMY
AAFSY;AMAZING ADULT FANTASY
AANGEL;ARCHANGEL
AASS;AVENGERS ASSEMBLE
ABOM;ABOMINATIONS
AC;AVENGERS CLASSIC
ACY&PHX;ADVENTURES OF CYCLOPS & PHOENIX
ADAM:LBM;ADAM: LEGEND OF THE BLUE MARVEL
ADREAM;AMERICAN DREAM
AF;ALPHA FLIGHT
AF2;ALPHA FLIGHT VOL. 2
AF3;ALPHA FLIGHT VOL. 3
AF4;ALPHA FLIGHT VOL. 4
AF SPEC;ALPHA FLIGHT SPECIAL
AF/INHS;ALPHA FLIGHT/INHUMANS
AFSY;AMAZING FANTASY
AFSY2;AMAZING FANTASY VOL. 2
