"3-D MAN/CHARLES CHAN";"3-D MAN"
"ABSORBING MAN/CARL C";"ABSORBING MAN"
AGINAR;AGINAR
"AJAK/TECUMOTZIN [ETE";AJAK
AMIKO;AMIKO
"ANCIENT ONE";"ANCIENT ONE"
"ANCIENT ONE/BARON MO";"ANCIENT ONE"
"ANDERS,JOSHUA RICHI";"ANCIENT ONE"
ANDERSON,BAXTER;"ANCIENT ONE"
ANDERSON,CHARLES;"ANCIENT ONE"
ANDERSON,CHET;"ANCIENT ONE"
"ANDERSON,CHIEF MAGI";"ANCIENT ONE"
ANDERSON,GINA;"ANCIENT ONE"
ANDERSON,MARJORIE;"ANCIENT ONE"
ANDERSON,NICKY;"ANCIENT ONE"
ANDERSSEN,TANYA;"ANCIENT ONE"
"ANDREWS,DARYL TROOP";"ANCIENT ONE"
ANNIHILUS;ANNIHILUS
"APOCALYPSE/EN SABAH ";APOCALYPSE
ARACHNE;ARACHNE
ARCADE/;ARCADE
"ARCLIGHT/PHILLIPA SO";ARCLIGHT
"ARMADILLO/ANTONIO RO";ARMADILLO
ARSENIC;ARSENIC
ASYLUM/;ASYLUM
"AURORA/JEANNE-MARIE ";AURORA
AUSTIN,GEN.;AURORA
AUSTIN,SUSAN;AURORA
AUSTIN,TERRY;AURORA
"AUTHIER,POLICE CHIE";AURORA
"AUTHIER,TRACY TRACE";AURORA
"AVALANCHE/DOMINIC PE";AVALANCHE
"BANSHEE/SEAN CASSIDY";BANSHEE
"BARON STRUCKER/WOLFG";"BARON STRUCKER"
BARRACUDA/;BARRACUDA
"BATTERING RAM";"BATTERING RAM"
"BEAST/HENRY &HANK& P";BEAST
BEAUMONT,SPENCER;BEAST
"BEDLAM/JESSE AARONSO";BEDLAM
BEEF/;BEEF
BENGAL/;BENGAL
BENJAMIN,BYRON;BENGAL
BENNETT,DANNY;BENGAL
BENNETT,MITCH;BENGAL
BENNING,VERONICA;BENGAL
BENNY,JAKE;BENGAL
BENTLEY,MILES;BENGAL
BENTLEY,VICTORIA;BENGAL
BENTON,TERRY;BENGAL
BENWAY,DR.;BENGAL
BERDITCHEV,ITZHAK;BENGAL
BEYONDER;BEYONDER
BI-BEAST;BI-BEAST
"BIG BERTHA/ASHLEY CR";"BIG BERTHA"
"BINARY/CAROL DANVERS";"CAROL DANVERS"
"BLACK BOLT/BLACKANTO";"BLACK BOLT"
"BLACK CAT/FELICIA HA";"BLACK CAT"
"BLACK CROW/JESSE BLA";"BLACK CROW"
"BLACK PANTHER/T'CHAL";"BLACK PANTHER"
"BLACK TARANTULA/LAMU";"BLACK TARANTULA"
"BLACK WIDOW/NATASHA ";"BLACK WIDOW"
BLACK,CAL;"BLACK WIDOW"
BLACK,CYRUS;"BLACK WIDOW"
BLACK,RACHEL;"BLACK WIDOW"
BLACKHEART;BLACKHEART
"BLACKOUT/MARCUS DANI";BLACKOUT
BLACKSHEAR,JONAS;BLACKOUT
BLADE;BLADE
BLASTAAR;BLASTAAR
"BLAZING SKULL/MARK T";"BLAZING SKULL"
BLESSING,MORGANA;"BLAZING SKULL"
BLINK/FERGUSON,CLAR;BLINK
"BLIZZARD/PROF. GREGO";BLIZZARD
"BLOB/FRED J. DUKES";BLOB
BLOCKBUSTER/;BLOCKBUSTER
BLOK;BLOK
"BLOKE/MICKEY TORK";BLOKE
"BLOODAXE/JACKIE LUKU";BLOODAXE
BLOODSCREAM;BLOODSCREAM
"BLOODSTRIKE/ERIC CON";BLOODSTRIKE
BLOODVESSEL,BUSTA;BLOODSTRIKE
"BLUE SHIELD/JOSEPH J";"BLUE SHIELD"
BLUR;BLUR
"BOOMER/TABITHA SMITH";BOOMER
"BOOMERANG/FRED MYERS";BOOMERANG
"BOX/ROGER BOCHS";BOX
"BOYD,TWO-FISTED TOM";BOX
BRADDOCK,ELIZABETH;BOX
BRADDOCK,JAMES;BOX
"BRADDOCK,JAMES JR. ";BOX
BRADDOCK,JOHN;BOX
BRADLEY,CARRIE;BOX
BRADLEY,HANK;BOX
BRADLEY,JESSICA;BOX
"BROTHER VOODOO/DANIE";"BROTHER VOODOO"
"BRUTE/REED RICHARDS ";BRUTE
"BUCKY/BUCKY BARNES";BUCKY
BUG;BUG
"BULLDOZER/HENRY CAMP";BULLDOZER
BULLSEYE;BULLSEYE
BUMPO,MR.;"MR. BUMPO"
BUSHWACKER/CARL;BUSHWACKER
BUSIEK,KURT;BUSHWACKER
BUTTERFLY;BUTTERFLY
CALIBAN/;CALIBAN
CALLISTO;CALLISTO
CALYPSO;CALYPSO
"CANNONBALL/JACK PULV";CANNONBALL
"CANNONBALL/SAM GUTHR";CANNONBALL
CANTOR,VERA;CANNONBALL
"CAPTAIN AMERICA";"CAPTAIN AMERICA"
"CAPTAIN BRITAIN/BRIA";"CAPTAIN BRITAIN"
