SHANG-CHI;MAN-THING
MYSTIQUE;BLOB
MYSTIQUE;PYRO
MYSTIQUE;AVALANCHE
AVALANCHE;BLOB
AVALANCHE;PYRO
PYRO;BLOB
NOVA;FIRESTAR
NOVA;THUNDERBALL
NOVA;NAMORITA
NOVA;HULK
NOVA;NIGHT THRASHER
NOVA;SPIDER-MAN
SPIDER-MAN;FIRESTAR
SPIDER-MAN;THUNDERBALL
SPIDER-MAN;NAMORITA
SPIDER-MAN;HULK
SPIDER-MAN;NIGHT THRASHER
NIGHT THRASHER;FIRESTAR
NIGHT THRASHER;THUNDERBALL
NIGHT THRASHER;NAMORITA
NIGHT THRASHER;HULK
HULK;FIRESTAR
HULK;THUNDERBALL
HULK;NAMORITA
NAMORITA;FIRESTAR
NAMORITA;THUNDERBALL
THUNDERBALL;FIRESTAR
FIRESTAR;NAMORITA
FIRESTAR;HULK
FIRESTAR;NIGHT THRASHER
FIRESTAR;NOVA
NOVA;NAMORITA
NOVA;HULK
NOVA;NIGHT THRASHER
NIGHT THRASHER;NAMORITA
NIGHT THRASHER;HULK
HULK;NAMORITA
QUICKSILVER;WASP
QUICKSILVER;GALACTUS
QUICKSILVER;MOCKINGBIRD
QUICKSILVER;SILVER SURFER
QUICKSILVER;SCARLET WITCH
QUICKSILVER;IRON MAN
IRON MAN;WASP
IRON MAN;GALACTUS
IRON MAN;MOCKINGBIRD
IRON MAN;SILVER SURFER
IRON MAN;SCARLET WITCH
SCARLET WITCH;WASP
SCARLET WITCH;GALACTUS
SCARLET WITCH;MOCKINGBIRD
SCARLET WITCH;SILVER SURFER
SILVER SURFER;WASP
SILVER SURFER;GALACTUS
SILVER SURFER;MOCKINGBIRD
MOCKINGBIRD;WASP
MOCKINGBIRD;GALACTUS
GALACTUS;WASP
CYCLOPS;CAPTAIN AMERICA
CYCLOPS;NOVA
CYCLOPS;GALACTUS
CYCLOPS;WONDER MAN
CYCLOPS;WOLVERINE
CYCLOPS;SILVER SURFER
CYCLOPS;VISION
CYCLOPS;PSYLOCKE
CYCLOPS;STORM
CYCLOPS;ETERNITY
CYCLOPS;NIGHT THRASHER
CYCLOPS;IN-BETWEENER
CYCLOPS;MR. FANTASTIC
CYCLOPS;DEATH
CYCLOPS;IRON MAN
CYCLOPS;BLACK PANTHER
CYCLOPS;SCARLET WITCH
CYCLOPS;JUBILEE
CYCLOPS;THING
CYCLOPS;INVISIBLE WOMAN
CYCLOPS;HULK
CYCLOPS;BEAST
BEAST;CAPTAIN AMERICA
